,RMSE
MLP,1.363879836473553
ARIMA,1.4637147669039021
Bayesian DLM (SMC),1.4723650217056274
OLS + RFE,1.6488519032300766
OLS,1.6638509904631238
XGBoost,1.7556241722657855
Random Forest,1.7664535439514146
Bayesian DLM (MCMC),1.8408294595360788
Bayesian DLM (DR),4.068568022144406
