,0
Unemmployment - YoY,0.2815266237855579
AEX -price ,0.2814666214186702
AEX change,0.28131869751901395
Country Level Index of Financial Stress,0.281086336651089
Industrial_confidence,0.2807148820420118
Consumer_confidence,0.28048888079577705
Services_confidence,0.2803528760741928
Retail_confidence,0.2803060782634686
10years_gov_bond_rate,0.2802979936949111
Exchangerate_PPI,0.2802542234125451
3month_euribor,0.2801677605631149
Exchangerate_CPI,0.2801148625378976
US_Dollar_per_EUR,0.2800528116885118
Inflation_expectations,0.2799278046359492
Construction_index,0.27985866675115856
Construction_confidence,0.2798567531612869
Consumption,0.2797680597729872
Economic_sentiment,0.2797594535848108
Employment_expectations,0.27968744188463607
Export,0.27960181433611125
Import,0.27938658735395405
Industrial_production_index,0.27930802208897576
Manufacturing_index,0.27919927736028693
